,idDrink,strDrink,strTags,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,ingredients_combined
0,17222,A1,,Cocktail,,Alcoholic,cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,,2.6,1.5,0.375,0.19,,,,,,,,"gin, grand marnier, lemon juice, grenadine"
1,13501,ABC,,Shot,,Alcoholic,shot glass,Layered in a shot glass.,Amaretto,Baileys irish cream,Cognac,,,,,,,,,0.5,0.33,0.33,,,,,,,,,"amaretto, baileys irish cream, cognac"
2,17225,Ace,,Cocktail,,Alcoholic,martini glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,,3.0,0.75,0.75,0.75,0.5,,,,,,,"gin, grenadine, heavy cream, milk, egg white"
3,14610,ACID,,Shot,,Alcoholic,shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,151 proof rum,Wild Turkey,,,,,,,,,,1.0,1.0,,,,,,,,,,"proof rum, wild turkey"
4,17837,Adam,"Alcoholic,Holiday",Ordinary Drink,,Alcoholic,cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Dark rum,Lemon juice,Grenadine,,,,,,,,,2.0,1.0,0.167,,,,,,,,,"dark rum, lemon juice, grenadine"
5,13938,AT&T,,Ordinary Drink,,Alcoholic,highball glass,"Pour Vodka and Gin over ice, add Tonic and Stir",Absolut Vodka,Gin,Tonic water,,,,,,,,,1.0,1.0,4.0,,,,,,,,,"absolut vodka, gin, tonic water"
6,17833,A. J.,,Ordinary Drink,,Alcoholic,cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Applejack,Grapefruit juice,,,,,,,,,,1.5,1.0,,,,,,,,,,"applejack, grapefruit juice"
7,15266,Avalon,,Ordinary Drink,,Alcoholic,highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,,,0.5,0.5,3.0,1.5,0.5,,,,,,,"vodka, pisang ambon, apple juice, lemon juice, lemonade"
8,15106,Apello,,Other / Unknown,,Non alcoholic,collins glass,Stirr. Grnish with maraschino cherry.,Orange juice,Grapefruit juice,Apple juice,Maraschino cherry,,,,,,,,1.4,1.0,0.338,1.0,,,,,,,,"orange juice, grapefruit juice, apple juice, maraschino cherry"
9,17839,Affair,,Ordinary Drink,,Alcoholic,highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,,,2.0,2.0,2.0,0.5,,,,,,,,"strawberry schnapps, orange juice, cranberry juice, club soda"
